# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
JBCMMFKD_00476	GENE_JBCMMFKD_00476	TRANSCRIPT_JBCMMFKD_00476	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00477	GENE_JBCMMFKD_00477	TRANSCRIPT_JBCMMFKD_00477	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00478	GENE_JBCMMFKD_00478	TRANSCRIPT_JBCMMFKD_00478	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00479	GENE_JBCMMFKD_00479	TRANSCRIPT_JBCMMFKD_00479	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00480	GENE_JBCMMFKD_00480	TRANSCRIPT_JBCMMFKD_00480	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00481	GENE_JBCMMFKD_00481	TRANSCRIPT_JBCMMFKD_00481	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00591	GENE_JBCMMFKD_00591	TRANSCRIPT_JBCMMFKD_00591	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
JBCMMFKD_00592	GENE_JBCMMFKD_00592	TRANSCRIPT_JBCMMFKD_00592	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
JBCMMFKD_00593	GENE_JBCMMFKD_00593	TRANSCRIPT_JBCMMFKD_00593	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
JBCMMFKD_00594	GENE_JBCMMFKD_00594	TRANSCRIPT_JBCMMFKD_00594	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
JBCMMFKD_00595	GENE_JBCMMFKD_00595	TRANSCRIPT_JBCMMFKD_00595	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0
JBCMMFKD_00596	null.8	JBCMMFKD_00596	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0
JBCMMFKD_00597	null.9	JBCMMFKD_00597	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
JBCMMFKD_00598	GENE_JBCMMFKD_00598	TRANSCRIPT_JBCMMFKD_00598	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0
JBCMMFKD_00599	GENE_JBCMMFKD_00599	TRANSCRIPT_JBCMMFKD_00599	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
JBCMMFKD_00600	GENE_JBCMMFKD_00600	TRANSCRIPT_JBCMMFKD_00600	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
JBCMMFKD_00601	GENE_JBCMMFKD_00601	TRANSCRIPT_JBCMMFKD_00601	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
JBCMMFKD_00630	GENE_JBCMMFKD_00630	TRANSCRIPT_JBCMMFKD_00630	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00631	GENE_JBCMMFKD_00631	TRANSCRIPT_JBCMMFKD_00631	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00632	GENE_JBCMMFKD_00632	TRANSCRIPT_JBCMMFKD_00632	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00633	GENE_JBCMMFKD_00633	TRANSCRIPT_JBCMMFKD_00633	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00634	GENE_JBCMMFKD_00634	TRANSCRIPT_JBCMMFKD_00634	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00635	GENE_JBCMMFKD_00635	TRANSCRIPT_JBCMMFKD_00635	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00636	GENE_JBCMMFKD_00636	TRANSCRIPT_JBCMMFKD_00636	protein_coding	1	0	0	0	0	0	1	0	0	0	0	0	0	0
JBCMMFKD_00637	GENE_JBCMMFKD_00637	TRANSCRIPT_JBCMMFKD_00637	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00638	GENE_JBCMMFKD_00638	TRANSCRIPT_JBCMMFKD_00638	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00639	GENE_JBCMMFKD_00639	TRANSCRIPT_JBCMMFKD_00639	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00640	GENE_JBCMMFKD_00640	TRANSCRIPT_JBCMMFKD_00640	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00656	GENE_JBCMMFKD_00656	TRANSCRIPT_JBCMMFKD_00656	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	1
JBCMMFKD_00657	GENE_JBCMMFKD_00657	TRANSCRIPT_JBCMMFKD_00657	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	1
JBCMMFKD_00658	GENE_JBCMMFKD_00658	TRANSCRIPT_JBCMMFKD_00658	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	1
JBCMMFKD_00659	GENE_JBCMMFKD_00659	TRANSCRIPT_JBCMMFKD_00659	protein_coding	1	0	0	1	0	1	1	0	0	0	0	0	0	0
JBCMMFKD_00660	GENE_JBCMMFKD_00660	TRANSCRIPT_JBCMMFKD_00660	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00661	GENE_JBCMMFKD_00661	TRANSCRIPT_JBCMMFKD_00661	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00662	GENE_JBCMMFKD_00662	TRANSCRIPT_JBCMMFKD_00662	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00663	GENE_JBCMMFKD_00663	TRANSCRIPT_JBCMMFKD_00663	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00664	GENE_JBCMMFKD_00664	TRANSCRIPT_JBCMMFKD_00664	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00746	GENE_JBCMMFKD_00746	TRANSCRIPT_JBCMMFKD_00746	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00747	GENE_JBCMMFKD_00747	TRANSCRIPT_JBCMMFKD_00747	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00748	GENE_JBCMMFKD_00748	TRANSCRIPT_JBCMMFKD_00748	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00749	GENE_JBCMMFKD_00749	TRANSCRIPT_JBCMMFKD_00749	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00750	GENE_JBCMMFKD_00750	TRANSCRIPT_JBCMMFKD_00750	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00751	GENE_JBCMMFKD_00751	TRANSCRIPT_JBCMMFKD_00751	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00752	GENE_JBCMMFKD_00752	TRANSCRIPT_JBCMMFKD_00752	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
JBCMMFKD_00753	GENE_JBCMMFKD_00753	TRANSCRIPT_JBCMMFKD_00753	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00754	GENE_JBCMMFKD_00754	TRANSCRIPT_JBCMMFKD_00754	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00755	GENE_JBCMMFKD_00755	TRANSCRIPT_JBCMMFKD_00755	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00756	GENE_JBCMMFKD_00756	TRANSCRIPT_JBCMMFKD_00756	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00757	GENE_JBCMMFKD_00757	TRANSCRIPT_JBCMMFKD_00757	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00808	GENE_JBCMMFKD_00808	TRANSCRIPT_JBCMMFKD_00808	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00809	GENE_JBCMMFKD_00809	TRANSCRIPT_JBCMMFKD_00809	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00810	GENE_JBCMMFKD_00810	TRANSCRIPT_JBCMMFKD_00810	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00811	GENE_JBCMMFKD_00811	TRANSCRIPT_JBCMMFKD_00811	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00812	GENE_JBCMMFKD_00812	TRANSCRIPT_JBCMMFKD_00812	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
JBCMMFKD_00813	GENE_JBCMMFKD_00813	TRANSCRIPT_JBCMMFKD_00813	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00814	GENE_JBCMMFKD_00814	TRANSCRIPT_JBCMMFKD_00814	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00815	GENE_JBCMMFKD_00815	TRANSCRIPT_JBCMMFKD_00815	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00816	GENE_JBCMMFKD_00816	TRANSCRIPT_JBCMMFKD_00816	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00817	GENE_JBCMMFKD_00817	TRANSCRIPT_JBCMMFKD_00817	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00818	GENE_JBCMMFKD_00818	TRANSCRIPT_JBCMMFKD_00818	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00831	GENE_JBCMMFKD_00831	TRANSCRIPT_JBCMMFKD_00831	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	6
JBCMMFKD_00832	GENE_JBCMMFKD_00832	TRANSCRIPT_JBCMMFKD_00832	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	6
JBCMMFKD_00833	GENE_JBCMMFKD_00833	TRANSCRIPT_JBCMMFKD_00833	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	6
JBCMMFKD_00834	GENE_JBCMMFKD_00834	TRANSCRIPT_JBCMMFKD_00834	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	6
JBCMMFKD_00835	GENE_JBCMMFKD_00835	TRANSCRIPT_JBCMMFKD_00835	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0
JBCMMFKD_00836	GENE_JBCMMFKD_00836	TRANSCRIPT_JBCMMFKD_00836	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	6
JBCMMFKD_00837	GENE_JBCMMFKD_00837	TRANSCRIPT_JBCMMFKD_00837	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	6
JBCMMFKD_00838	GENE_JBCMMFKD_00838	TRANSCRIPT_JBCMMFKD_00838	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0
JBCMMFKD_00839	GENE_JBCMMFKD_00839	TRANSCRIPT_JBCMMFKD_00839	protein_coding	1	0	0	5	0	0	1	0	0	0	0	0	0	5
JBCMMFKD_00840	GENE_JBCMMFKD_00840	TRANSCRIPT_JBCMMFKD_00840	protein_coding	0	0	0	6	0	5	0	0	0	0	0	0	0	1
JBCMMFKD_00841	GENE_JBCMMFKD_00841	TRANSCRIPT_JBCMMFKD_00841	protein_coding	0	3	2	1	0	0	0	2	0	0	0	0	3	1
JBCMMFKD_00842	GENE_JBCMMFKD_00842	TRANSCRIPT_JBCMMFKD_00842	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	6
JBCMMFKD_00843	GENE_JBCMMFKD_00843	TRANSCRIPT_JBCMMFKD_00843	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	6
JBCMMFKD_00844	GENE_JBCMMFKD_00844	TRANSCRIPT_JBCMMFKD_00844	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	6
JBCMMFKD_00906	GENE_JBCMMFKD_00906	TRANSCRIPT_JBCMMFKD_00906	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00907	GENE_JBCMMFKD_00907	TRANSCRIPT_JBCMMFKD_00907	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00908	GENE_JBCMMFKD_00908	TRANSCRIPT_JBCMMFKD_00908	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00909	GENE_JBCMMFKD_00909	TRANSCRIPT_JBCMMFKD_00909	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00910	GENE_JBCMMFKD_00910	TRANSCRIPT_JBCMMFKD_00910	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00911	GENE_JBCMMFKD_00911	TRANSCRIPT_JBCMMFKD_00911	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00912	GENE_JBCMMFKD_00912	TRANSCRIPT_JBCMMFKD_00912	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00913	GENE_JBCMMFKD_00913	TRANSCRIPT_JBCMMFKD_00913	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
JBCMMFKD_00914	GENE_JBCMMFKD_00914	TRANSCRIPT_JBCMMFKD_00914	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00915	GENE_JBCMMFKD_00915	TRANSCRIPT_JBCMMFKD_00915	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_00916	GENE_JBCMMFKD_00916	TRANSCRIPT_JBCMMFKD_00916	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00917	GENE_JBCMMFKD_00917	TRANSCRIPT_JBCMMFKD_00917	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00918	GENE_JBCMMFKD_00918	TRANSCRIPT_JBCMMFKD_00918	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00919	GENE_JBCMMFKD_00919	TRANSCRIPT_JBCMMFKD_00919	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_00945	GENE_JBCMMFKD_00945	TRANSCRIPT_JBCMMFKD_00945	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0
JBCMMFKD_00946	GENE_JBCMMFKD_00946	TRANSCRIPT_JBCMMFKD_00946	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0
JBCMMFKD_00947	GENE_JBCMMFKD_00947	TRANSCRIPT_JBCMMFKD_00947	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0
JBCMMFKD_00948	GENE_JBCMMFKD_00948	TRANSCRIPT_JBCMMFKD_00948	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0
JBCMMFKD_00949	GENE_JBCMMFKD_00949	TRANSCRIPT_JBCMMFKD_00949	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
JBCMMFKD_00950	GENE_JBCMMFKD_00950	TRANSCRIPT_JBCMMFKD_00950	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
JBCMMFKD_00951	GENE_JBCMMFKD_00951	TRANSCRIPT_JBCMMFKD_00951	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
JBCMMFKD_00952	GENE_JBCMMFKD_00952	TRANSCRIPT_JBCMMFKD_00952	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
JBCMMFKD_00953	GENE_JBCMMFKD_00953	TRANSCRIPT_JBCMMFKD_00953	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
JBCMMFKD_00954	GENE_JBCMMFKD_00954	TRANSCRIPT_JBCMMFKD_00954	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
JBCMMFKD_01024	GENE_JBCMMFKD_01024	TRANSCRIPT_JBCMMFKD_01024	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01025	GENE_JBCMMFKD_01025	TRANSCRIPT_JBCMMFKD_01025	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01026	GENE_JBCMMFKD_01026	TRANSCRIPT_JBCMMFKD_01026	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01027	GENE_JBCMMFKD_01027	TRANSCRIPT_JBCMMFKD_01027	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01028	GENE_JBCMMFKD_01028	TRANSCRIPT_JBCMMFKD_01028	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
JBCMMFKD_01029	GENE_JBCMMFKD_01029	TRANSCRIPT_JBCMMFKD_01029	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_01030	GENE_JBCMMFKD_01030	TRANSCRIPT_JBCMMFKD_01030	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_01031	GENE_JBCMMFKD_01031	TRANSCRIPT_JBCMMFKD_01031	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_01032	GENE_JBCMMFKD_01032	TRANSCRIPT_JBCMMFKD_01032	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_01035	null.14	JBCMMFKD_01035	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5
JBCMMFKD_01036	GENE_JBCMMFKD_01036	TRANSCRIPT_JBCMMFKD_01036	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5
JBCMMFKD_01037	GENE_JBCMMFKD_01037	TRANSCRIPT_JBCMMFKD_01037	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5
JBCMMFKD_01038	GENE_JBCMMFKD_01038	TRANSCRIPT_JBCMMFKD_01038	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5
JBCMMFKD_01039	GENE_JBCMMFKD_01039	TRANSCRIPT_JBCMMFKD_01039	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5
JBCMMFKD_01040	GENE_JBCMMFKD_01040	TRANSCRIPT_JBCMMFKD_01040	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0
JBCMMFKD_01041	GENE_JBCMMFKD_01041	TRANSCRIPT_JBCMMFKD_01041	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0
JBCMMFKD_01042	GENE_JBCMMFKD_01042	TRANSCRIPT_JBCMMFKD_01042	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0
JBCMMFKD_01043	GENE_JBCMMFKD_01043	TRANSCRIPT_JBCMMFKD_01043	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0
JBCMMFKD_01226	GENE_JBCMMFKD_01226	TRANSCRIPT_JBCMMFKD_01226	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01227	GENE_JBCMMFKD_01227	TRANSCRIPT_JBCMMFKD_01227	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01228	GENE_JBCMMFKD_01228	TRANSCRIPT_JBCMMFKD_01228	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01229	GENE_JBCMMFKD_01229	TRANSCRIPT_JBCMMFKD_01229	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_01230	GENE_JBCMMFKD_01230	TRANSCRIPT_JBCMMFKD_01230	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01231	GENE_JBCMMFKD_01231	TRANSCRIPT_JBCMMFKD_01231	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01232	GENE_JBCMMFKD_01232	TRANSCRIPT_JBCMMFKD_01232	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01233	GENE_JBCMMFKD_01233	TRANSCRIPT_JBCMMFKD_01233	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01234	GENE_JBCMMFKD_01234	TRANSCRIPT_JBCMMFKD_01234	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01245	GENE_JBCMMFKD_01245	TRANSCRIPT_JBCMMFKD_01245	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_01246	GENE_JBCMMFKD_01246	TRANSCRIPT_JBCMMFKD_01246	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01247	GENE_JBCMMFKD_01247	TRANSCRIPT_JBCMMFKD_01247	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_01248	GENE_JBCMMFKD_01248	TRANSCRIPT_JBCMMFKD_01248	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_01249	GENE_JBCMMFKD_01249	TRANSCRIPT_JBCMMFKD_01249	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
JBCMMFKD_01250	GENE_JBCMMFKD_01250	TRANSCRIPT_JBCMMFKD_01250	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01251	GENE_JBCMMFKD_01251	TRANSCRIPT_JBCMMFKD_01251	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01252	GENE_JBCMMFKD_01252	TRANSCRIPT_JBCMMFKD_01252	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
JBCMMFKD_01253	GENE_JBCMMFKD_01253	TRANSCRIPT_JBCMMFKD_01253	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0
